code,industry,name
02668,Apparel Manufacturing,PAK TAK INT'L
02669,Real Estate Services,CHINA OVS PPT
02670,Specialty Industrial Machinery,YUNJI
02671,Real Estate—Development,USAS BUILDING
02672,Insurance Brokers,BAIGE DIGITAL
02675,Medical Devices,EDGE MEDICAL-B
02676,Semiconductors,NOVOSENSE
02677,Medical Care Facilities,DISTINCT HEALTH
02678,Textile Manufacturing,TEXHONG INTL GP
02680,Capital Markets,AUSTRAX HLDGS
02682,Marine Shipping,YUN LEE MARINE
02683,Footwear & Accessories,WAHSUN HANDBAGS
02685,Internet Retail,QUANTGROUP
02687,Software—Application,ABLE DIGITAL
02688,Utilities—Regulated Gas,ENN ENERGY
02689,Paper & Paper Products,ND PAPER
02691,Capital Markets,NANHUA FUTURES
02692,Electrical Equipment & Parts,ZHAOWEI
02693,Other Industrial Metals & Mining,JINYAN KAOLIN
02695,Leisure,IMPRESSION DHP
02696,Biotechnology,HENLIUS
02697,Medical Devices,TH MEDICAL-B
02698,Household & Personal Products,SOFTCARE
02699,Real Estate—Development,XINMING CHINA
02700,Medical Care Facilities,GREEN INTL HLDG
02701,Semiconductors,NSING TECH
02706,Software—Infrastructure,HAIZHI TECH GP
02714,Farm Products,MUYUAN
02715,Specialty Industrial Machinery,ESTUN
02718,Software—Infrastructure,MININGLAMP-W
02720,"Furnishings, Fixtures & Appliances",RIDGE OUTDOOR
02722,Specialty Industrial Machinery,CHONGQING M&E
02723,Software—Application,DEEPZERO
02726,Semiconductors,EPIWORLD
02727,Specialty Industrial Machinery,SH ELECTRIC
02728,Oil & Gas Refining & Marketing,JINTAI ENERGY H
02729,Computer Hardware,GALAXIS TECH
02738,Steel,HUAJIN INTL
02768,Specialty Chemicals,GON TECHNOLOGY
02772,Real Estate—Development,ZHONGLIANG HLDG
02777,Real Estate—Development,R&F PROPERTIES
02779,Education & Training Services,CH XINHUA EDU
02788,Aluminum,CHUANGXIN IND
02789,Engineering & Construction,YUANDA CHINA
02797,Packaged Foods,QIYUNSHAN FOOD
02798,Coking Coal,PER ENERGY
02799,Asset Management,CITIC FAMC
02858,Credit Services,YIXIN
02863,Engineering & Construction,GOLDEN FAITH GP
02865,Solar,DRINDA
02866,Aerospace & Defense,COSCO SHIP DEV
02869,Real Estate Services,GREENTOWN SER
02877,Drug Manufacturers—Specialty & Generic,SHINEWAY PHARM
02878,Semiconductors,SOLOMON SYSTECH
02880,Marine Shipping,LIAONING PORT
02881,Chemicals,WUHAN YOUJI
02882,Luxury Goods,3DG HOLDINGS
02883,Oil & Gas Equipment & Services,CHINA OILFIELD
02885,Security & Protection Services,PEIPORT HOLD
02886,Utilities—Regulated Gas,BINHAI INV
02888,Banks—Diversified,STANCHART
02889,Software—Application,PATEO
02892,,MILLION CITIES
02898,,SUNHO BIO-B
02899,Gold,ZIJIN MINING
02901,,FANTASIA-OLD
02908,,BJ SPORTS&E-OLD
02909,,IMAGI INT'L-8K
02910,,ASIA STRAT-10K
02912,,EASYKNIT-OLD
02913,,TIAN CHENG HLDG
02914,,ALPHA PRO H-20K
02918,,AI ENERGY E-10K
02919,,GBA AI COMP-2K
02921,,CAPITAL IND FIN
03200,Specialty Industrial Machinery,HANS CNC
03223,Semiconductors,INGENIC
03231,Computer Hardware,EXCELLAND ROBOT
03268,Communication Equipment,MEIG
03277,Semiconductor Equipment & Materials,GPIXEL
03288,Packaged Foods,HAITIAN FLAV
03296,Consumer Electronics,HUAQIN
03300,Building Materials,CHINA GLASS
03301,Real Estate—Development,RONSHINECHINA
03302,Specialty Industrial Machinery,KINERGY
03303,Oil & Gas Equipment & Services,JUTAL OIL SER
03306,Apparel Manufacturing,JNBY
03308,Communication Equipment,ZJ INNOLIGHT
03309,Medical Care Facilities,C-MER MEDICAL
03310,Semiconductors,VIEWTRIX TECH
03311,Engineering & Construction,CHINA STATE CON
03313,Building Products & Equipment,ARTGO HOLDINGS
03315,Software—Infrastructure,GOLDPAC GROUP
03316,Real Estate Services,BINJIANG SER
03317,Information Technology Services,XUNCE
03318,Specialty Chemicals,CHINA BOTON
03319,Real Estate Services,A-LIVING
03320,Drug Manufacturers—Specialty & Generic,CHINARES PHARMA
03321,Engineering & Construction,ZHONGKE GROUP
03322,Apparel Manufacturing,WIN HANVERKY
03323,Building Materials,CNBM
03328,Banks—Diversified,BANKCOMM
03329,Financial Conglomerates,BOCOM INTL
03330,Gold,LINGBAO GOLD
03332,Packaged Foods,SINOLIFE UTD
03336,Computer Hardware,JU TENG INTL
03337,Oil & Gas Equipment & Services,ANTON OILFIELD
03339,Farm & Heavy Construction Machinery,LONKING
03347,Diagnostics & Research,TIGERMED
03348,Specialty Industrial Machinery,CHINA PENGFEI
03355,Communication Equipment,FS.COM
03360,Credit Services,FE HORIZON
03363,Paper & Paper Products,ZHENGYE INT'L
03366,Real Estate—Development,OCT (ASIA)
03368,Department Stores,PARKSON GROUP
03369,Marine Shipping,QHD PORT
03377,Real Estate—Development,SINO-OCEAN GP
03378,Biotechnology,HANXBIO-B
03380,Real Estate—Development,LOGAN GROUP
03382,Marine Shipping,TIANJINPORT DEV
03383,Real Estate—Development,AGILE GROUP
03388,Computer Hardware,CREALITY
03389,Conglomerates,HENGDELI
03390,Pharmaceutical Retailers,TYCOON GROUP
03393,Electrical Equipment & Parts,WASION HOLDINGS
03395,Oil & Gas E&P,JX ENERGY
03396,Computer Hardware,LEGENDHOLDING
03398,Apparel Manufacturing,CHINA TING
03399,Integrated Freight & Logistics,YUEYUN TRANS
03600,Medical Devices,MODERN DENTAL
03601,Internet Content & Information,LUDASHI
03603,Real Estate Services,XINJI SHAXI
03606,Auto Parts,FUYAO GLASS
03613,Drug Manufacturers—Specialty & Generic,TONGRENTANGCM
03616,Real Estate—Development,EVER REACH GP
03618,Banks—Regional,CQRC BANK
03623,Financial Conglomerates,C SUCCESS FIN
03625,Semiconductor Equipment & Materials,FOURSEMI
03626,Specialty Business Services,EAST NOVA HLDGS
03628,Specialty Industrial Machinery,RENHENG ENT
03633,Utilities—Regulated Gas,ZHONGYU ENERGY
03636,Copper,JINXUN RESOURCE
03638,Conglomerates,HUNLICAR GROUP
03639,Real Estate—Development,YIDA CHINA
03650,Leisure,KEEP
03658,Real Estate Services,NEW HOPE SERV
03660,Credit Services,QFIN-S
03661,Semiconductors,SG MICRO
03662,Real Estate Services,STARJOY W&T
03666,,SHANGHAI XNG
03668,Thermal Coal,YANCOAL AUS
03669,Auto & Truck Dealerships,YONGDA AUTO
03677,Auto Parts,ZENERGY
03678,Capital Markets,HOLLY FUTURES
03680,Information Technology Services,RUIHE DATA
03681,Biotechnology,SINOMAB BIO-B
03683,Marine Shipping,GREAT HARVEST
03686,Grocery Stores,CLIFFORDML
03688,Real Estate—Development,TOP SPRING
03689,Medical Care Facilities,KANGHUA HEALTH
03690,互联网平台,美团-W
03692,Drug Manufacturers—Specialty & Generic,HANSOH PHARMA
03696,Software—Infrastructure,INSILICO
03698,Banks—Regional,HUISHANG BANK
03699,Real Estate Services,EB GRAND CHINA
03700,Internet Content & Information,INKEVERSE
03708,Residential Construction,WORLD DIGI ECON
03709,Apparel Retail,EEKA FASHION
03718,Waste Management,BJ ENT URBAN
03728,Engineering & Construction,CHING LEE
03737,Drug Manufacturers—Specialty & Generic,ZHONGZHIPHARM
03738,Software—Application,VOBILE GROUP
03750,Electrical Equipment & Parts,CATL
03752,Computer Hardware,ROKAE ROBOTICS
